,country1,latitude1,longitude1,name1,country2,latitude2,longitude2,name2,distance_km
1,Spain,40.4167047,-3.7035825,Madrid,Spain,38.3436365,-0.4881708,Alacant / Alicante,360.12761659874974
2,Spain,40.4167047,-3.7035825,Madrid,Spain,36.7213028,-4.4216366,M치laga,414.9576716395722
3,Spain,40.4167047,-3.7035825,Madrid,Spain,39.5695818,2.6500745,Palma,550.5811893237486
4,Spain,40.4167047,-3.7035825,Madrid,Spain,41.3828939,2.1774322,Barcelona,506.9220157558597
5,Spain,38.3436365,-0.4881708,Alacant / Alicante,Spain,36.7213028,-4.4216366,M치laga,391.47685381483035
6,Spain,38.3436365,-0.4881708,Alacant / Alicante,Spain,39.5695818,2.6500745,Palma,304.14192052055785
7,Spain,38.3436365,-0.4881708,Alacant / Alicante,Spain,41.3828939,2.1774322,Barcelona,407.2523795686752
8,Spain,36.7213028,-4.4216366,M치laga,Spain,39.5695818,2.6500745,Palma,695.5684256857941
9,Spain,36.7213028,-4.4216366,M치laga,Spain,41.3828939,2.1774322,Barcelona,770.3567914602503
10,Spain,39.5695818,2.6500745,Palma,Spain,41.3828939,2.1774322,Barcelona,205.30603962958762