Region_start,Zone_start,Region_end,Zone_end,Type
Andorra (AD),3,Andorra (AD),3,A
Andorra (AD),3,Barcelona,1,C
Andorra (AD),3,Palma,2,C
Andorra (AD),3,Islas Canarias (IC),4,D
Malaga,1,Andorra (AD),3,C
Malaga,1,Barcelona,1,A
Malaga,1,Palma,2,B
Malaga,1,Islas Canarias (IC),4,D
Palma,2,Andorra (AD),3,C
Palma,2,Barcelona,1,B
Palma,2,Palma,2,B
Palma,2,Islas Canarias (IC),4,D
Islas Canarias (IC),4,Andorra (AD),3,D
Islas Canarias (IC),4,Barcelona,1,D
Islas Canarias (IC),4,Palma,2,D
Islas Canarias (IC),4,Islas Canarias (IC),4,D
Andorra (AD),3,Andorra (AD),3,A
Andorra (AD),3,Malaga,1,C
Andorra (AD),3,Palma,2,C
Andorra (AD),3,Islas Canarias (IC),4,D
Barcelona,1,Andorra (AD),3,C
Barcelona,1,Malaga,1,A
Barcelona,1,Palma,2,B
Barcelona,1,Islas Canarias (IC),4,D
Palma,2,Andorra (AD),3,C
Palma,2,Malaga,1,B
Palma,2,Palma,2,B
Palma,2,Islas Canarias (IC),4,D
Islas Canarias (IC),4,Andorra (AD),3,D
Islas Canarias (IC),4,Malaga,1,D
Islas Canarias (IC),4,Palma,2,D
Islas Canarias (IC),4,Islas Canarias (IC),4,D
Andorra (AD),3,Andorra (AD),3,A
Andorra (AD),3,Barcelona,1,C
Andorra (AD),3,Palma,2,C
Andorra (AD),3,Islas Canarias (IC),4,D
Madrid,1,Andorra (AD),3,C
Madrid,1,Barcelona,1,A
Madrid,1,Palma,2,B
Madrid,1,Islas Canarias (IC),4,D
Palma,2,Andorra (AD),3,C
Palma,2,Barcelona,1,B
Palma,2,Palma,2,B
Palma,2,Islas Canarias (IC),4,D
Islas Canarias (IC),4,Andorra (AD),3,D
Islas Canarias (IC),4,Barcelona,1,D
Islas Canarias (IC),4,Palma,2,D
Islas Canarias (IC),4,Islas Canarias (IC),4,D
Andorra (AD),3,Andorra (AD),3,A
Andorra (AD),3,Malaga,1,C
Andorra (AD),3,Palma,2,C
Andorra (AD),3,Islas Canarias (IC),4,D
Malaga,1,Andorra (AD),3,C
Malaga,1,Malaga,1,A
Malaga,1,Palma,2,B
Malaga,1,Islas Canarias (IC),4,D
Palma,2,Andorra (AD),3,C
Palma,2,Malaga,1,B
Palma,2,Palma,2,B
Palma,2,Islas Canarias (IC),4,D
Islas Canarias (IC),4,Andorra (AD),3,D
Islas Canarias (IC),4,Malaga,1,D
Islas Canarias (IC),4,Palma,2,D
Islas Canarias (IC),4,Islas Canarias (IC),4,D
Andorra (AD),3,Andorra (AD),3,A
Andorra (AD),3,Madrid,1,C
Andorra (AD),3,Palma,2,C
Andorra (AD),3,Islas Canarias (IC),4,D
Malaga,1,Andorra (AD),3,C
Malaga,1,Madrid,1,A
Malaga,1,Palma,2,B
Malaga,1,Islas Canarias (IC),4,D
Palma,2,Andorra (AD),3,C
Palma,2,Madrid,1,B
Palma,2,Palma,2,B
Palma,2,Islas Canarias (IC),4,D
Islas Canarias (IC),4,Andorra (AD),3,D
Islas Canarias (IC),4,Madrid,1,D
Islas Canarias (IC),4,Palma,2,D
Islas Canarias (IC),4,Islas Canarias (IC),4,D
Andorra (AD),3,Andorra (AD),3,A
Andorra (AD),3,Madrid,1,C
Andorra (AD),3,Palma,2,C
Andorra (AD),3,Islas Canarias (IC),4,D
Barcelona,1,Andorra (AD),3,C
Barcelona,1,Madrid,1,A
Barcelona,1,Palma,2,B
Barcelona,1,Islas Canarias (IC),4,D
Palma,2,Andorra (AD),3,C
Palma,2,Madrid,1,B
Palma,2,Palma,2,B
Palma,2,Islas Canarias (IC),4,D
Islas Canarias (IC),4,Andorra (AD),3,D
Islas Canarias (IC),4,Madrid,1,D
Islas Canarias (IC),4,Palma,2,D
Islas Canarias (IC),4,Islas Canarias (IC),4,D
Andorra (AD),3,Andorra (AD),3,A
Andorra (AD),3,Madrid,1,C
Andorra (AD),3,Palma,2,C
Andorra (AD),3,Islas Canarias (IC),4,D
Madrid,1,Andorra (AD),3,C
Madrid,1,Madrid,1,A
Madrid,1,Palma,2,B
Madrid,1,Islas Canarias (IC),4,D
Palma,2,Andorra (AD),3,C
Palma,2,Madrid,1,B
Palma,2,Palma,2,B
Palma,2,Islas Canarias (IC),4,D
Islas Canarias (IC),4,Andorra (AD),3,D
Islas Canarias (IC),4,Madrid,1,D
Islas Canarias (IC),4,Palma,2,D
Islas Canarias (IC),4,Islas Canarias (IC),4,D
Andorra (AD),3,Andorra (AD),3,A
Andorra (AD),3,Barcelona,1,C
Andorra (AD),3,Palma,2,C
Andorra (AD),3,Islas Canarias (IC),4,D
Barcelona,1,Andorra (AD),3,C
Barcelona,1,Barcelona,1,A
Barcelona,1,Palma,2,B
Barcelona,1,Islas Canarias (IC),4,D
Palma,2,Andorra (AD),3,C
Palma,2,Barcelona,1,B
Palma,2,Palma,2,B
Palma,2,Islas Canarias (IC),4,D
Islas Canarias (IC),4,Andorra (AD),3,D
Islas Canarias (IC),4,Barcelona,1,D
Islas Canarias (IC),4,Palma,2,D
Islas Canarias (IC),4,Islas Canarias (IC),4,D
Andorra (AD),3,Andorra (AD),3,A
Andorra (AD),3,Malaga,1,C
Andorra (AD),3,Palma,2,C
Andorra (AD),3,Islas Canarias (IC),4,D
Madrid,1,Andorra (AD),3,C
Madrid,1,Malaga,1,A
Madrid,1,Palma,2,B
Madrid,1,Islas Canarias (IC),4,D
Palma,2,Andorra (AD),3,C
Palma,2,Malaga,1,B
Palma,2,Palma,2,B
Palma,2,Islas Canarias (IC),4,D
Islas Canarias (IC),4,Andorra (AD),3,D
Islas Canarias (IC),4,Malaga,1,D
Islas Canarias (IC),4,Palma,2,D
Islas Canarias (IC),4,Islas Canarias (IC),4,D
